# x_m,y_m,w_tr_right_m,w_tr_left_m
-27.6500,-124.9500,0.8296,0.8296
-28.6500,-124.3500,0.8124,0.8124
-29.7000,-123.6000,0.8259,0.8259
-30.7500,-122.6500,0.8259,0.8259
-31.5500,-121.6500,0.7849,0.7849
-32.0500,-120.6000,0.7862,0.7862
-32.4500,-119.5500,0.8062,0.8062
-32.7000,-118.5000,0.7823,0.7823
-32.8000,-117.4500,0.8500,0.8500
-32.7500,-116.4000,0.8000,0.8000
-32.5500,-115.3500,0.8296,0.8296
-32.3000,-114.3000,0.8124,0.8124
-31.9500,-113.2500,0.8296,0.8296
-31.6000,-112.2000,0.8124,0.8124
-31.3000,-111.1500,0.7962,0.7962
-30.9000,-110.1000,0.8124,0.8124
-30.5000,-109.0500,0.8308,0.8308
-30.0000,-108.0000,0.8062,0.8062
-29.5000,-106.9500,0.8124,0.8124
-28.9500,-105.9000,0.8308,0.8308
-28.3500,-104.8500,0.8000,0.8000
-27.6000,-103.8000,0.8000,0.8000
-26.9000,-102.7500,0.8124,0.8124
-26.0500,-101.7000,0.8259,0.8259
-25.2000,-100.6500,0.8308,0.8308
-24.2500,-99.6000,0.8259,0.8259
-23.3000,-98.5500,0.8259,0.8259
-22.3500,-97.5000,0.8259,0.8259
-21.4500,-96.4500,0.8259,0.8259
-20.4500,-95.4000,0.8607,0.8607
-19.4500,-94.4000,0.8607,0.8607
-18.4500,-93.5000,0.8296,0.8296
-17.4000,-92.6000,0.8404,0.8404
-16.3500,-91.8000,0.8000,0.8000
-15.3000,-91.1500,0.8296,0.8296
-14.2500,-90.5000,0.7862,0.7862
-13.2000,-89.8500,0.8296,0.8296
-12.1500,-89.2500,0.8124,0.8124
-11.1000,-88.6500,0.8124,0.8124
-10.0500,-88.0500,0.8124,0.8124
-9.0000,-87.4500,0.8062,0.8062
-7.9500,-86.8500,0.8259,0.8259
-6.9000,-86.2000,0.8404,0.8404
-5.8500,-85.6000,0.8548,0.8548
-4.8000,-85.0000,0.8062,0.8062
-3.7500,-84.4000,0.8296,0.8296
-2.7000,-83.8000,0.8124,0.8124
-1.6500,-83.2000,0.8124,0.8124
-0.6000,-82.5500,0.8000,0.8000
0.4500,-81.7500,0.8259,0.8259
1.5000,-80.8500,0.8259,0.8259
2.5500,-79.8000,0.8259,0.8259
3.5500,-78.7500,0.8404,0.8404
4.4000,-77.7000,0.8259,0.8259
5.1500,-76.6500,0.7925,0.7925
5.9000,-75.6000,0.8062,0.8062
6.5000,-74.5500,0.8124,0.8124
6.9500,-73.5000,0.8296,0.8296
7.4000,-72.4500,0.8062,0.8062
7.8500,-71.4000,0.8124,0.8124
8.3000,-70.3500,0.8112,0.8112
8.6500,-69.3000,0.7962,0.7962
9.1000,-68.2500,0.8198,0.8198
9.5000,-67.2000,0.8308,0.8308
9.9500,-66.1500,0.8308,0.8308
10.3500,-65.1000,0.8124,0.8124
10.7500,-64.0500,0.7849,0.7849
11.2000,-63.0000,0.8308,0.8308
11.6000,-61.9500,0.7849,0.7849
